DP04_0001E,DP03_0120PE,DP05_0001E,DP03_0119PE,zip code tabulation area
1022,10.1,2035,5.3,29126
0,-666666666,1056,-666666666,29117
0,-666666666,0,-666666666,29147
0,-666666666,1308,-666666666,29225
198,0,336,0,29324
96,0,247,13.5,29329
127,0,194,0,29331
248,0,581,0,29333
145,0,293,0,29346
46,-666666666,96,0,29368
101,100,175,100,29378
5,-666666666,2666,0,29409
8863,15.8,22836,8.4,29410
0,-666666666,390,-666666666,29424
19386,23.1,45385,11.4,29588
0,-666666666,1917,-666666666,29613
88,-666666666,2128,0,29614
48,-666666666,5129,-666666666,29634
11921,7.6,28866,3.6,29707
0,-666666666,1852,-666666666,29733
0,-666666666,1120,-666666666,29899
0,-666666666,712,-666666666,29904
16,0,3083,0,29905
5852,13.7,14801,6.6,29907
10852,0,18829,1.4,29909
0,-666666666,0,-666666666,29912
613,0,445,0,29915
2212,60.5,4420,25.1,29817
1572,24.4,3194,18.1,29321
878,22,1763,9.2,29014
1129,40,2169,27.5,29038
7739,28.7,17852,19.9,29053
1964,28,4037,20.7,29055
23301,7.6,60081,5.2,29072
391,-666666666,112,0,29074
816,15.8,1763,14.4,29114
3343,31.5,8525,19.3,29123
1817,19.3,3211,13.4,29178
23330,19.2,50870,13.2,29223
8029,41.2,16085,25.7,29306
3570,10.4,8281,5,29322
2906,7.6,7842,6.7,29376
10538,43.9,21888,24.2,29403
14208,45.4,33984,29.4,29406
17955,8.3,39520,4.4,29414
747,0,1455,1,29471
11280,29.4,25916,15.6,29527
1151,13.3,2325,14.4,29530
147,0,200,0,29850
1266,47.9,2688,33.3,29856
9533,23.5,25149,14.7,29906
666,17.7,1537,9.4,29916
22668,7,16366,2.8,29928
587,6.7,1002,2.7,29929
3836,22.3,7833,12.4,29160
7522,19.2,15914,9.7,29070
705,3.1,1211,6.7,29113
412,53.5,919,24.6,29133
2118,9.3,5939,6.8,29335
2279,17.6,5190,15.1,29164
12546,22.1,24756,12.5,29205
15404,22.4,35704,14.4,29301
9747,31.6,20651,17.5,29360
2960,8.4,6947,6.8,29431
4486,7.9,4430,4.1,29451
62,35.3,164,15.8,29493
10872,15.3,24850,9.8,29505
192,68.3,582,32.3,29543
1264,26.4,2192,21.3,29563
420,27,765,21.6,29564
7574,45.9,16094,31.1,29624
8039,24.1,19301,14.3,29627
14216,6.7,34886,4.2,29650
2109,23.3,4682,13.7,29653
