DP04_0001E,DP03_0120PE,DP05_0001E,DP03_0119PE,zip code tabulation area
1670,33.1,4056,22.4,40734
225,47.6,520,45.5,40170
9660,33.9,20692,23.9,40215
73,-666666666,15,-666666666,40816
79,-666666666,99,0,40844
203,8.6,432,18.7,40849
1355,39.9,2935,34.7,40935
69,60,157,45.2,40995
2426,39.4,4879,15.4,40729
7653,2.3,19585,1.8,40059
14105,15.6,35462,8.6,40165
17172,20.4,39537,13.9,40219
324,37.9,864,20.8,40346
1247,21.1,2511,14,40402
1438,26.7,3128,17.6,40371
1800,28.1,4399,20.6,40489
231,0,382,0,40077
5961,11.2,13932,9.6,40175
2650,52.8,5205,36.6,40831
1348,1.1,3161,0.8,40056
10525,10.5,19804,7.2,40206
4512,2.8,11100,1.6,40513
217,82,526,52.9,40801
28,0,48,0,40025
321,-666666666,385,0,40041
587,0,966,3.4,40075
0,-666666666,136,-666666666,40048
0,-666666666,112,-666666666,40049
0,-666666666,291,-666666666,40063
22,54.5,59,54.5,40110
1933,17.3,5254,8.1,43080
10750,6.6,26216,4.1,43085
146,33.3,285,16.9,43101
1861,6.9,4500,6.1,43102
1310,9.4,3770,6.7,43154
88,31.3,201,11.4,43156
230,17.6,648,8.9,43157
12311,40.2,22677,21.9,43206
5508,25.2,11656,11.4,43953
470,35,12530,40.7,43210
735,0,1388,0,43356
760,2.9,1739,1.3,43534
11915,6.5,27097,3.7,43537
3845,17.4,7785,9.4,43543
6217,16.7,14182,8.3,43545
5484,7.5,12662,4.2,43558
12810,6.8,32275,4.9,43560
7032,48.8,14570,36.2,43608
15304,12.4,32653,8.2,43613
19702,27.1,39786,16.2,43615
1133,35.1,1874,12.5,43716
2340,36,5185,20.7,43723
3287,23.4,9319,9.3,43724
2748,25.4,4834,14.1,43756
672,27.8,1543,18.6,43766
1803,9.7,4389,7.3,43821
517,0,1253,3.8,43840
5158,9.5,14243,5.3,43064
3090,9,7626,6.1,43105
409,30.6,836,9.4,43932
1382,41.4,2263,18.9,43988
1330,10.1,3399,13.5,43107
52,0,153,0,43317
44,-666666666,53,0,43439
1296,15.7,2896,9.1,43569
15458,20.4,31607,11,43614
2894,13.7,7272,9.7,43315
20273,28.9,47265,18,43207
942,26.2,2440,21.2,43217
8357,20.2,18946,10.9,43311
2654,8.5,5869,5.9,43316
504,21.7,1012,6.1,43343
472,19,1170,10.6,43442
612,17.9,1536,8.7,43457
13772,25.4,29686,18.9,43612
2376,6.9,5297,4.1,43947
1201,22.2,2742,13.5,43521
2000,7,4866,4.4,43044
14687,3,41000,2.2,43147
14388,3.4,32913,2.9,43221
1809,0.7,4504,2,43430
908,11.7,1986,5.2,43527
366,2.9,809,3.3,43013
4218,5.8,8421,4,43076
1201,12.8,3005,7.4,43003
120,18.8,316,6.7,43151
10358,10.5,21141,9.9,43202
525,1,1149,1.1,43337
711,7.9,1765,4.4,43556
2998,7.6,7268,5.5,43617
959,24,1880,9.3,43772
1530,22.7,3029,9.2,43943
57,-666666666,113,0,43030
59,73.5,212,42.4,43117
52,5,119,9.7,43330
5,-666666666,5501,-666666666,43403
47,0,85,0,43433
31,20,61,5.6,43434
445,0,88,0,43446
36,0,39,0,43463
31,40,52,15.4,43505
107,17,333,10,43519
10,-666666666,20,0,43523
28,0,116,0,43711
0,-666666666,0,-666666666,43733
40,0,35,33.3,43736
121,0,115,0,43750
66,0,57,0,43759
83,-666666666,49,0,43761
20,0,35,38.5,43786
46,-666666666,81,100,43805
68,0,108,0,43836
142,31.7,375,20.2,43931
25,0,80,0,43970
54,53.3,93,28.6,43985
4320,30.9,8643,18,43906
27,-666666666,21,0,43928
239,30.4,466,16,43934
4425,20.7,8870,10.6,43935
1347,25.4,3189,20.7,43945
1136,34.2,2136,13.4,43946
3125,28.9,6212,15.5,43968
9691,15.1,19936,9.2,43623
1050,24.9,2287,11.3,43730
652,5.7,1738,13.8,43734
415,0,986,2.9,43767
151,75,497,41.8,43768
490,10,1148,9,43778
2616,28.2,4901,15.6,43793
8829,23.7,18640,11.5,43812
1421,19.5,4116,11.4,43824
3447,13.9,7349,9.6,43832
1741,5.7,3519,4.4,43844
2094,26,4607,12.4,43845
1446,6.7,3208,2.3,43910
978,6.1,1875,7.6,43933
32,0,64,0,43951
1075,9.6,2289,7,43977
56,9.1,140,6.1,43541
120,0,179,0,43547
1090,14.3,2371,6.5,43554
10723,39.9,21936,28.5,43609
3272,42.7,5863,25.5,43620
1466,7,2926,3.3,43718
25536,24.6,55595,14.8,43701
801,0.3,2179,2.6,43739
3117,17.2,7066,9.5,43713
138,0,306,0,43722
1137,35,2752,22.8,43748
1681,16.1,3060,12,43758
3433,28.1,8750,18.7,43764
1657,5.7,3668,4.7,43773
408,28.3,835,16.4,43811
490,9.1,1062,9,43843
638,11.3,1172,4.2,43915
1282,21,2767,10.1,43942
554,0,454,0,43983
1046,14.5,2332,11.4,43986
2444,7.4,5996,4.7,43344
1809,7.1,4373,5.9,43412
548,9,1522,4.4,43413
1326,22.1,2989,10,43416
1885,13,4868,7,43431
196,14.1,578,8.9,43437
927,0,202,1.6,43438
1023,0,291,0,43456
1451,16.4,3291,7.5,43522
262,11.5,587,8.1,43548
16693,5.3,38839,3.7,43551
12511,47.3,26096,33.7,43605
9048,9.4,20380,5.2,43616
680,11.4,1331,7.1,43720
778,12.1,1448,3.1,43732
172,0,438,0,43735
793,4.2,1618,5,43754
687,2.9,2138,6.3,43760
1909,12.9,5997,6.3,43762
2414,16.9,5775,8.5,43830
739,12.5,1658,5.3,43837
1079,8.8,1984,4,43901
722,16.4,1599,14.5,43908
707,29.4,1596,18.2,43913
50,-666666666,194,0,43914
192,42.9,363,25.3,43961
32,0,92,0,43962
10047,6.5,26139,5.1,43004
901,15.3,2453,7.1,43009
956,10.8,2059,6.7,43466
282,50.5,509,37.4,43333
2451,8.5,6317,5,43334
0,-666666666,0,-666666666,43336
411,0,948,6.5,43341
754,21.5,1920,10.8,43406
4496,12.4,10030,8.7,43410
13768,22.8,30133,13.2,43420
540,14.7,1345,8.4,43435
6578,25.8,4738,5,43440
774,3.6,1920,2.4,43443
544,0,1239,2.7,43445
10374,19.4,13674,9.2,43452
154,0,401,0,43468
3408,14.4,8582,7.6,43515
219,11.1,502,7.1,43565
1116,13.2,2524,5.9,43518
421,2.1,1096,0.9,43525
1622,6.7,3972,4.9,43532
5493,9.1,13247,7.1,43567
2452,40.5,4343,30.6,43610
611,0,1163,4.4,43727
9439,36.6,19592,21,43725
36,0,103,0,43738
551,36.1,879,14.6,43747
821,15.8,1895,7.7,43771
2053,22.1,4823,14.1,43777
319,42.5,673,31.8,43782
2149,20.5,4731,12.7,43783
1678,33.2,3111,18.7,43787
328,11.7,1008,12,43802
978,17.4,3786,9.5,43804
923,19.6,2108,10.3,43903
1337,17.4,2376,8.1,43749
3239,22.8,6317,12,43912
143,57.9,236,15.9,43926
212,33.3,439,14.7,43939
12025,16.7,25258,9.5,44460
13372,16,26662,10.1,44515
15475,22.3,34740,14.3,44601
1720,11.3,3935,8.3,44609
753,9.6,2057,6.7,44620
931,11.2,2634,4,44633
1245,34.3,3281,20,44637
91,10,235,5.8,44640
53,20,136,8.3,44659
15794,36.3,31474,21.6,44004
9723,7.3,23834,4.2,44024
917,14.7,2473,8.2,44046
3781,14.7,9122,9.9,44047
5571,5.8,12613,2.8,44054
8747,44.1,19943,27.8,44055
2652,11.5,7104,5.9,44081
8812,11.1,20595,6.8,44087
8458,6.4,16677,3.6,44092
11385,68.5,19640,54.4,44104
14408,51.9,21939,31.9,44108
21134,27.3,34276,17.1,44120
15393,20.7,33211,13,44121
7474,14.4,16372,6.4,44126
13197,4.1,30225,3.2,44133
14455,6.2,32378,4.1,44145
7858,2.4,19361,1,44147
8214,4.8,20408,2.4,44202
2242,17.2,4960,8.7,44254
3172,21.3,8223,10.4,44255
1832,0,4641,0,44280
2457,0,6193,0.4,44286
7859,16,16558,8.6,44833
13946,9.8,32833,6.7,44805
1047,2.6,2876,5.4,44814
8509,18.8,17522,11.2,44820
20,0,73,0,44828
1669,10.3,4408,4.7,44837
396,22.7,836,8.3,44887
115,8.3,261,9.6,44838
1290,24,3208,13.9,44865
1069,11.1,3118,7.4,44878
5990,9.8,13542,4.5,44904
1215,8.3,2667,3.5,44666
4461,29.4,9557,17.6,44710
9885,2.6,22378,2.2,44138
1515,7,3997,4.2,44217
7393,1.8,16604,1.3,44022
4639,2.1,10989,1.6,44026
82,-666666666,92,0,44080
1016,12.8,2330,7.3,44836
2040,27.8,4679,15.1,44851
141,19,263,9.1,44856
728,37.4,1994,15,44866
2698,55.8,4850,40.1,44902
6916,2,17473,2.3,44023
4134,16.7,11376,7.6,44074
1718,21.3,3749,15,44084
20860,47.4,37211,33,44105
13511,43.6,25752,24.8,44106
27365,17.9,50666,10.9,44107
20279,39,40246,25.6,44109
4458,82.7,8284,69.8,44115
5660,25.9,9611,13.1,44117
18901,7.8,37737,4.6,44124
11861,7.9,24241,5,44143
10318,20.5,21697,12.2,44144
14147,12.8,29154,8.2,44221
3685,6.4,8549,4,44230
668,19.4,1916,14.1,44235
9553,1.8,25518,1.5,44236
19144,24.7,39536,14.1,44240
2102,10,5049,4.2,44262
3546,20.4,8800,13.6,44270
4207,9.5,7766,5.3,44303
7809,13.1,17895,7.4,44622
1546,5.7,6829,5,44627
566,0,932,0.8,44628
1056,16.5,2661,10.7,44629
3784,3,9831,3.1,44632
20980,14.5,46749,8.5,44646
4391,17.4,9583,8.7,44657
2348,23.8,4748,11.6,44672
809,20.4,1578,10.8,44695
409,6.3,951,2.4,44802
303,2.8,630,3,44815
1026,12.9,2394,4.7,44818
6703,16.7,12264,5.7,44839
1032,9.2,2594,5.8,44840
545,5.6,1372,2.1,44853
10347,22,23394,11.5,44857
6222,10.5,13437,9,44875
5602,6.3,14149,3,44721
163,0,321,0,44809
1617,4.9,3944,4.9,44824
1443,14.2,3344,6.9,44847
970,18.4,2522,10.4,44849
11148,16.8,23604,10.5,44903
758,10.2,1708,5.9,44854
1130,34.7,2844,14.5,44880
2913,4.2,7071,3,44889
8077,17.1,16849,8.8,44906
7156,16.6,16638,8.1,44241
8331,4.3,22786,2.7,44011
2400,6.8,6244,6,44021
3454,7.6,9000,3.4,44028
8867,15.3,18895,9,44053
4705,1.4,11808,1.2,44056
8246,8.4,19482,5.4,44057
4119,14.1,14523,8.9,44062
3951,41.6,7969,26.7,44405
7903,10.2,16702,6.9,44410
3244,14,7371,7.6,44413
7409,18.4,14796,10,44420
1954,6.9,4406,7.8,44437
1795,28.8,3609,10,44473
5096,50.3,9336,36.1,44502
745,16.2,2121,11.3,44611
809,19.4,2012,11.9,44613
2067,28.4,4476,14.8,44621
1200,4.1,3015,2.4,44626
1504,12.2,2836,9.5,44656
11122,23.4,24914,12.2,44663
1922,16.8,4455,9.2,44680
2573,5.5,7987,4.8,44681
7984,20.7,17413,10.4,44706
9405,24.8,19217,12.1,44709
4306,13.3,8442,8.8,44714
16737,8.6,38080,4.7,44720
719,2.3,1724,6.3,44064
23657,11.7,56353,7,44077
595,23.6,1210,11.9,44093
755,5,2334,2.6,44099
11089,46.2,20358,28.6,44113
4664,30.4,6567,39.6,44114
7615,35.9,14805,20.2,44132
12932,37.7,27640,24.2,44135
10918,6.1,25776,3.3,44136
1165,13.7,2323,7,44215
6403,1.4,15391,2.3,44140
5865,6.9,13830,4.1,44141
17739,7.7,44380,4.2,44212
8288,8.1,17722,3.9,44223
3032,4.5,7927,3.8,44233
0,-666666666,4721,-666666666,44243
25578,7.9,62916,4.7,44256
2949,46.2,5127,25.2,44302
11554,27.3,26659,21,44310
1896,22.6,3904,10.9,44403
1535,11.7,2544,11.1,44429
1587,23.2,3604,10.8,44445
4563,12.4,10043,7.5,44408
1020,5.7,2328,4.8,44411
1644,7.4,3695,4.1,44436
813,9.6,2041,4.4,44450
1279,3.7,2817,3.1,44451
408,39.2,970,24,44490
4869,19.5,10742,12.9,44471
10796,23.2,21804,13.7,44484
8180,59.2,16101,34.1,44485
59,-666666666,160,0,44610
1635,27.3,3521,16.5,44288
1818,71.8,5028,55.2,44304
9836,37.9,19419,20.3,44320
6530,1.2,15346,0.5,44321
9398,6.2,21749,3.8,44406
4914,18.5,13279,8.6,44432
699,0,1757,1.6,44441
695,11.1,1672,5.4,44443
4864,20.6,9563,8,44444
12620,30.8,24836,17.6,44483
564,-666666666,1130,100,44503
1124,68.4,2601,54.9,44510
5180,3.1,12628,1.7,44614
8634,8.9,20239,5.5,44641
237,29.7,673,15.3,44653
3848,9.4,10020,7.3,44662
80,0,172,0,44670
199,0,290,0,44671
1847,13.8,4402,6,44676
4231,52.9,8802,36,44707
437,0,940,1.7,44804
988,12.7,2120,5.7,44807
5536,11.7,12667,5.7,44811
42,0,102,14.3,44825
8928,37.6,18690,19.8,44830
2809,14.8,4228,9.5,44003
10088,2.3,23777,1.5,44012
29340,29,63318,16.5,44035
941,13.2,2529,9.5,44048
26501,6.5,60476,3.6,44060
8619,3.7,20470,1.8,44067
13734,9,31847,6.2,44070
607,31.2,2464,22.1,44082
1584,13.9,3448,8.1,44085
1015,20.4,2558,9.2,44086
17446,9.8,35755,5.2,44094
14743,6.9,33342,5.2,44122
2769,57.6,4375,40.6,44127
14783,34.4,28790,22.9,44128
23375,10.9,49787,6.3,44130
8750,2.7,20532,2.7,44131
17022,12.6,37533,7.2,44134
951,5.6,2246,4.5,44634
624,39.9,1453,18.3,44638
8208,15.7,19172,8.2,44647
58,18.5,153,12.5,44661
3731,17.3,8552,14.3,44683
10614,10.8,27842,5,44685
255,5.2,786,2.2,44689
104,21.1,204,7.5,44697
4598,46.8,8081,28,44703
8419,45.7,19451,29.3,44705
11967,19.1,25541,9.7,44708
3416,26.8,6980,12.4,44827
19904,24.6,39597,13.6,44870
2383,16.9,5392,9.2,44842
31,-666666666,65,0,44861
1013,8.3,2557,3.4,44867
1332,4.7,2849,5.8,44882
9122,11.4,21130,5.3,44001
7338,22.3,15949,12.9,44030
731,23.9,1516,13.4,44032
1285,6.8,2903,3.7,44040
7332,8.6,14321,6.2,44041
2556,7.7,6384,4.6,44050
1800,18.8,5022,10.8,44076
23157,45.3,45514,32.6,44102
11894,45.6,19116,36.7,44110
20159,26.1,42821,18.2,44111
13311,22.3,27939,12,44125
10753,32.3,22657,18.1,44137
702,0,1918,2.5,44625
5618,18.2,13410,10.6,44667
545,24.1,1347,11,44669
1226,15.4,2816,7.7,44688
71,-666666666,213,0,44690
48,0,41,0,44693
2068,79.1,3490,47.4,44704
5579,7.5,11895,3.2,44718
2707,6.4,5847,4.5,44730
3715,9.9,9312,6.7,44813
604,2,1506,1.7,44817
5240,25.3,13719,12.8,44905
1075,10.8,2630,3.2,44412
715,11.9,1736,10.9,44417
630,23.8,1555,19.3,44010
7570,7.8,18903,5.8,44017
13110,6.5,33018,3.7,44039
13510,40.6,28576,26.4,44052
1942,5.7,4522,3.3,44065
8138,5.1,15527,3.8,44089
4786,9,11996,4.1,44090
10492,49.5,16519,35.6,44103
6485,29.7,13108,21.8,44119
7176,28.5,15060,17.5,44301
10591,28.5,22425,18.3,44305
10540,41.9,21165,30.6,44306
4015,55.3,6751,40.8,44307
15046,11.1,31064,6.7,44312
10802,8.4,22647,4.1,44319
7821,5.7,18778,3.5,44333
653,8.4,1446,3.7,44404
2532,12.1,4949,12.1,44644
423,21.8,1030,8.8,44682
1091,8,2749,4.8,44822
15313,11.8,33340,6.8,44095
9882,4.1,20338,2.7,44116
342,18.4,656,11.7,44651
524,39.2,811,10.8,44699
1892,0,4420,4.5,44072
17823,15.7,38833,9.3,44118
18291,14.4,40442,9.1,44203
1257,0,3073,0.3,44264
9204,4.1,24212,3.3,44139
1916,15.4,4514,8.9,44431
2108,19.3,4960,7.2,44440
16019,10.6,32763,6.9,44512
3893,4.9,9540,2.3,44216
427,26.3,678,15.2,41660
267,51.9,531,40,41721
94,66.2,241,66.2,41725
463,58.1,1048,30.9,41731
272,60.8,416,24.2,41746
715,62,1446,45.5,41773
398,46.5,895,23.8,41835
218,49,499,38.7,41838
446,27.9,867,35.8,41862
408,30.8,731,20.8,41828
578,43.3,1316,19.9,41836
393,0,564,12.3,41843
118,95,171,95,41845
48,0,94,0,41861
10075,31.8,20793,19.7,41071
7048,3.7,16525,2.5,41075
135,48.6,335,18.6,41132
577,30.8,1032,16.4,41174
3869,35.2,7816,23.1,41179
584,31.4,841,11.2,41180
526,27.6,1283,12.1,41216
1146,0,2395,8,41222
125,86.2,324,56,41226
553,29,1188,17.7,41255
1403,16,3253,13,41256
338,51.9,889,35.1,41260
493,27.9,1001,24.1,41262
443,32.7,939,29.7,41267
191,36.4,485,34.5,41408
4376,36.8,10384,23.1,41472
1369,19.6,3013,11.9,42031
599,5.8,1299,7.7,42036
368,0,806,0,42040
1445,14.7,3855,8.8,42051
808,53.3,1065,24.2,42076
888,0,1689,10,42082
14661,9.6,33415,6.6,42104
719,41.1,1839,25.9,42634
6366,27.8,12423,17.8,42642
3628,19.3,6648,18.2,42717
1838,21.7,3570,18.6,42721
237,0,466,0,42722
1400,23.6,1464,12.9,42729
58,0,96,0,42731
9273,8.5,19582,6.8,42025
930,0,1890,4.8,42039
2574,14.5,5393,11.3,42053
15092,26.1,31614,15.4,42071
1990,2.2,5337,5.9,42122
761,0.9,1624,0.7,42159
806,12.2,1719,6.2,42160
1112,27.5,2923,22,42166
2303,23.7,6206,12.9,42206
2933,17.6,7131,14.6,42220
11,-666666666,11,-666666666,42338
835,38.8,1256,12.2,42259
4992,25.6,10769,17.1,42261
1022,9.7,2193,10.5,42274
2646,19.1,6244,12.8,42347
2334,7.9,5684,3.9,42366
817,39.4,1464,20.3,42410
12240,22.7,26055,14.4,42431
14088,23.8,30948,15.7,42141
1147,18.9,2295,8.9,42202
279,12.7,635,18.9,42236
7458,21.8,17543,11.9,42134
163,15.9,623,12.8,42157
841,0,1127,1.8,42207
254,23.1,694,28.6,42214
548,27.6,1254,12.5,42215
1561,13.5,3254,11,42217
345,29.2,678,14,42275
40,100,55,29.4,42463
2163,15.1,5171,7.2,42724
305,0,802,0,42265
2520,18.9,3198,8.2,42044
9041,16.6,20610,10.4,42103
1163,13.8,2511,6.7,42088
7499,14.7,13373,8.2,42211
154,18.8,481,14.3,42374
51,-666666666,78,0,42037
43,100,94,100,42102
35,0,18,0,42124
111,64.5,313,20.6,42130
128,0,271,0,42156
47,100,84,100,42163
11,-666666666,11,-666666666,42322
0,-666666666,92,-666666666,42356
359,11.1,796,10.6,42367
38,0,122,0,42758
319,13.6,510,8.4,42764
2637,12.4,4388,10.7,42256
3736,21.3,8750,17.5,42262
905,3.2,2138,4.4,42266
509,17.5,1401,20.8,42333
915,27.3,2396,17.3,42337
900,41.3,1508,21.1,42343
2048,15.2,4988,8.5,42348
3193,20.7,6608,13.2,42408
400,29,1041,18.9,42440
708,8,1296,4.4,42456
1970,27.5,4128,14.7,42459
1095,0,1860,3.7,42027
382,30.5,850,19.8,42028
2511,38.2,4340,21.5,42041
1228,39.3,1834,22,42048
1466,41.4,2885,26.6,42050
723,38.4,1555,15.6,42079
1800,15.5,4142,11.6,42086
7720,24.8,16463,15.5,42164
1129,24.5,2290,14.8,42023
740,23,1898,13.7,42056
501,17.6,1183,8.3,42462
13,0,74,0,42603
4666,23.8,9696,17.9,42539
2876,25.2,5965,15.2,42567
5515,29.1,10111,17.1,42602
3170,29.1,5410,20.2,42629
1362,32.3,4602,27.2,42635
1679,34.4,3422,21.5,42647
1150,45.6,2514,33,42649
10827,28.7,25597,18.2,42718
663,23.7,1107,12.3,42733
7582,31.9,16309,20.6,42754
88,16.7,281,8.7,42354
853,0,1898,4.3,42355
530,7.9,1355,3,42368
16,-666666666,0,-666666666,42370
812,28.7,1528,8.3,42372
1067,12.9,2722,8.8,42409
16985,21.8,38379,13.4,42420
748,8.3,1635,7.5,42441
529,19.3,1119,4.6,42458
8562,42,17511,27.2,42501
2567,21.9,3638,21.4,42519
239,29.5,600,29.4,42566
63,0,195,28.6,42631
2454,51.4,4922,37.5,42653
3295,24.3,5016,15.2,42726
7440,25.3,17032,15.3,42728
188,53.5,385,20.2,42741
309,16.4,679,12.9,42753
762,16.2,1456,5.8,42133
1051,24.1,2189,14.7,42784
122,0,302,0,42788
831,32.4,1573,24,42021
1134,1,1708,7.1,42081
180,0,397,0,42371
19571,23.4,43295,14.3,42301
17148,19.9,41387,12.5,42303
1766,17.7,4152,10.1,42351
1618,17.4,3131,10.3,42442
5313,24,10752,12.9,42445
417,59,937,30.4,42451
285,30.4,514,25.7,42565
10179,28,19911,18.9,42633
22072,15.8,50987,10.1,42701
740,25,1534,16.1,42712
2883,11.8,6429,9.6,42765
267,26.2,586,15.3,42204
138,56.3,230,18.6,42254
433,11.8,1069,5.5,42324
246,71.4,499,35.4,42326
14546,19.6,28782,11.9,42001
838,33,1605,17.1,42078
254,0,291,0,42083
38,100,60,38.5,42084
494,47,981,23,42085
1162,42.1,2401,16.9,42087
1154,26.8,2779,18.3,42120
3390,28.1,6954,18.4,42129
5135,13.5,20501,11.7,42223
1022,41.8,1918,16.7,42352
3721,29.6,8969,17.1,42320
1710,15.8,4038,9.8,42327
587,25.8,1331,17.6,42328
2387,24.9,5998,12.4,42376
1220,16.9,2903,8.6,42378
440,0,1092,5.9,42436
713,47.2,1491,28.6,42528
317,32.1,590,20.8,42541
2328,23.6,5260,16.5,42553
24,-666666666,0,-666666666,42638
152,-666666666,212,47.1,42715
758,14.9,1578,6,42716
854,9.7,1746,18.5,42746
872,5.8,2109,4.9,42732
903,41.8,1838,14.9,42740
1342,23.4,2863,10.9,42757
1064,27.5,2481,12.8,42776
506,12.3,1001,9.9,42782
455,10.9,990,4.9,42035
367,20.2,786,18.1,42123
158,15.9,525,20,42153
4010,31.4,7992,16.6,42167
309,0,865,0,42232
140,17.2,412,11.4,42280
512,7.4,1077,10.2,42286
923,16.2,2515,12.4,42325
437,9.7,758,10.8,42339
4763,13.3,10874,11.2,42345
124,8,244,8.1,42369
896,25.2,1783,10.8,42411
3334,10.3,8618,6.2,42437
266,37,584,15.9,42453
1243,17.6,3103,10.4,42455
754,12.9,1496,7.9,42464
10374,21.2,23669,14.2,42503
147,-666666666,185,0,42022
711,19.3,1179,11.6,42024
923,0,1924,0,42020
163,60.9,441,52,42047
720,11.8,1605,6.6,42049
138,53.6,234,28.8,42032
2954,18.4,5313,10.4,42038
1152,13.4,2221,3.1,42045
1797,22.1,2577,7,42055
1072,9.6,2408,6.1,42058
50,-666666666,26,-666666666,42061
4162,16.3,8294,10.2,42064
222,0,504,0,42069
23517,27.9,61396,18.1,42101
522,25.9,1005,16.9,42140
120,100,240,58.7,42151
587,9.6,1645,3.5,42170
3039,18.1,7230,11.4,42171
2088,16.1,4218,12.9,42210
229,63,437,23.9,42516
3875,34.6,5490,15.8,42544
941,26.5,1916,20.3,42713
509,0,964,0,42054
210,22.4,444,11.2,42154
13,-666666666,0,-666666666,42060
10374,27.6,23285,15.8,42066
3075,32.2,6622,20.8,42127
1222,31.1,2625,19,42234
19236,26,41743,17.4,42240
277,7.2,540,3.6,42273
6561,23.2,14272,13.1,42276
115,0,334,0,42285
85,0,197,35.5,42321
364,16.4,881,27.5,42323
4180,24.8,8960,13.7,42330
126,-666666666,149,0,42332
445,20.4,1076,15.1,42344
503,31,1135,8.3,42349
694,6.9,1578,4.8,42350
293,8.2,430,3.4,42361
1222,23.8,2649,19.7,42404
1534,13.5,3064,7.7,42406
1333,15,3175,10.8,42413
2017,43.2,3947,22.9,42450
991,11.4,2485,6.9,42452
601,13.4,1113,12.4,42461
2058,30.1,2763,21.6,42518
339,25,735,12.8,42533
4390,20.4,9145,13.8,42743
3897,13.9,8882,9.6,42748
2382,37.8,5346,25.3,42749
96,0,196,38.9,42762
13720,21.9,28667,13.2,42003
2899,12.4,6210,7.7,42029
2734,13.1,6609,8,43502
1214,17,2742,8.1,43516
606,12.8,1358,6.4,43540
1341,16.6,3195,10.9,43570
2812,6.1,7526,2.8,43571
11514,21.9,25219,15.1,43606
11744,41.5,21117,30.8,43607
1382,5.8,2689,4.2,43719
84,100,81,100,43721
110,0,201,0,43005
21048,6.5,55462,4.9,43015
1247,0,4500,0,43022
12751,23.5,28508,13.1,43050
103,0,159,0,43070
126,0,240,0,43127
25819,19.7,61259,11.5,43130
9797,20,21854,12.3,43160
14549,49.7,33455,27.2,43201
15342,29.4,33551,18.4,43213
12530,5.5,26549,2.9,43220
118,24,256,12.7,43321
4414,8.1,10164,4.6,43338
4642,8.7,10013,4.9,43351
1719,4.8,3921,3.5,43357
706,5.6,1600,2.2,43360
1888,7.2,3812,2.6,43046
99,0,260,1.4,43010
3853,13,8335,7.6,43028
4745,5,13229,3,43074
124,11.8,298,4.6,43033
10403,1.6,26953,1.3,43054
1094,4.4,2809,4.3,43060
12244,3.9,33636,3.3,43082
268,6.8,766,3.2,43084
4051,5.4,11006,5.1,43103
699,29.2,1589,19.2,43106
530,0.4,1563,1,43116
10637,12.2,28551,7.2,43119
26215,10.7,65442,6.1,43123
8313,14.6,24514,7.2,43140
2410,20.1,5762,9.7,43143
3312,12.6,12275,6.9,43146
12869,10.8,28516,7.4,43209
1793,41.5,4529,33.7,43222
3914,25.5,4507,11.3,43331
861,11.9,1734,8.2,43332
319,14.9,655,3.3,43006
490,23.3,1191,7.8,43462
2476,12.6,5273,6,43465
113,0,313,0,43555
985,5.4,3324,4.1,43557
9031,28.4,18579,15.8,43611
2966,12.9,7296,7.2,43619
10573,41,24296,25.1,43227
5957,22.8,13745,14,43326
696,8.9,1845,8.5,43340
15622,3,36260,3,43016
4330,4.9,13864,2.6,43023
2354,10.1,5100,3.9,43025
247,24.2,563,5.7,43029
22382,10.3,55225,6.8,43068
34,0,82,0,43109
214,20.4,498,8.4,43126
1094,28.5,2558,18.4,43128
56,0,102,7.7,43142
1106,3.5,2414,3.8,43149
390,10.8,742,6,43153
4846,54.1,8368,38.9,43203
10331,49.2,23453,38,43211
24445,7.4,58167,4.3,43230
1334,0,3033,4.7,43314
698,13.2,1524,4.3,43320
316,2.3,699,0.9,43323
276,0,729,0.5,43407
1407,14.9,3645,8.9,43447
4209,20.3,8219,9.4,43449
31,28.6,85,13.3,43467
523,6.1,1261,5.8,43504
1769,3.3,4134,2,43517
1550,0,3687,2,43542
65,0,139,0,43553
472,0,1075,2.4,43511
1264,5.3,2948,4.6,43469
12726,18,27951,9.1,43512
2482,12.3,5890,5,43526
6535,7.9,15919,4.8,43528
691,3.2,1702,1.7,43533
3021,13.2,5760,8.5,43907
318,3.9,719,2.2,43535
234,25,330,7.2,43842
73,0,116,0,43902
1709,7.7,3380,4.6,43917
114,100,425,79.7,43925
0,-666666666,0,-666666666,43967
75,0,121,0,43972
48,0,75,0,43974
42,100,124,33.3,43927
983,2.8,2221,1.1,43944
237,26.5,586,16.6,43948
6432,6.6,16446,4.3,43950
549,25,1100,9.1,43971
142,25.6,308,14.9,43531
330,28.8,870,21.1,43501
1378,17.2,2281,6,43973
685,20,1661,10,43976
1710,2.5,4945,1.1,43112
10234,21.2,24341,12.1,43113
898,20.3,2350,11.9,43148
876,17.3,2158,9.3,43150
19074,35.8,42463,21.4,43204
12325,2.1,21350,2.8,43212
13361,9.4,26229,5.8,43214
10133,46.6,14440,10.2,43215
10623,39.3,25963,29.1,43223
22419,26.3,53693,18.6,43229
8661,26.8,21828,16.3,43231
20484,26.1,45352,17.9,43232
19371,6.1,42673,4.5,43235
22867,23.8,54023,13.6,43302
8269,18.1,18107,11.6,43138
216,53.3,401,18.1,43144
2172,1.9,4295,1,43240
1345,6.7,2841,7.3,43310
2127,2.4,2963,3.2,43324
1202,9.4,2861,4.2,43342
364,2.2,742,0.9,43345
646,16.2,1501,11,43347
